video_id,title_current,upload_date,duration,view_count,like_count,comment_count,has_captions,description_length,thumbnail_url,upload_year,duration_seconds,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
eiGY0X8aF3I,"Braća Kumerle - Znakovlje Hrvata, Kaštel Lukšić 30.4.2025. #hrvatska #fyp #hrvatska🇭🇷 #zagreb #split",2025-05-01,PT1M42S,1099,38,10,False,1132,https://i.ytimg.com/vi/eiGY0X8aF3I/maxresdefault.jpg,2025,102,65,C,,,,,raw,
KzN79Bwybl0,Braća Kumerle – Ako ne znaš šta je bilo | Domoljubna pjesma uživo 🇭🇷 (Kaštel Lukšić 2025),2025-05-01,PT4M39S,444,26,3,False,2078,https://i.ytimg.com/vi/KzN79Bwybl0/sddefault.jpg,2025,279,57.04,C,,,,,raw,
fXSbyF5TO1s,Braća Kumerle - Frane Tente (pjesma o domoljubu) | Kaštel Lukšić 30.4.2025. LIVE 🇭🇷,2025-05-01,PT3M57S,344,23,6,False,2431,https://i.ytimg.com/vi/fXSbyF5TO1s/sddefault.jpg,2025,237,61.9,C,,,,,raw,
nCShQ08m4QU,"Marjane, ća barjak ne viješ?#hrvatska🇭🇷 #fyp #zagreb #split #oluja #cro #1slovo #u #shorts",2025-04-30,PT18S,14854,186,12,False,611,https://i.ytimg.com/vi/nCShQ08m4QU/maxresdefault.jpg,2025,18,65,C,,,,,raw,
cpqf7xFdjCs,"Braća Kumerle - Znakovlje Hrvata (Društveni centar Sesvete, Sesvete, 24.4.2025.)",2025-04-27,PT1M54S,1129,50,5,False,417,https://i.ytimg.com/vi/cpqf7xFdjCs/maxresdefault.jpg,2025,114,60.56,C,,,,,raw,
JPP811Gd6qc,Braća Kumerle - Ako ne znaš šta je bilo | Društveni centar Sesvete 24.4.2025. LIVE 🇭🇷,2025-04-26,PT4M40S,263,18,10,False,2046,https://i.ytimg.com/vi/JPP811Gd6qc/sddefault.jpg,2025,280,65,C,,,,,raw,
clcAfjeKHQI,"Braća Kumerle - Lijepa naša domovino Društveni centar Sesvete, Sesvete, 24.4.2025.",2025-04-25,PT1M54S,1393,42,0,False,423,https://i.ytimg.com/vi/clcAfjeKHQI/maxresdefault.jpg,2025,114,45.0,C,,,,,raw,
hPuyDO1fRaY,Znakovlje Hrvata: Braća Kumerle sa gitarama u akciji #sesvete #viralshorts,2025-04-25,PT54S,2328,69,10,False,774,https://i.ytimg.com/vi/hPuyDO1fRaY/sddefault.jpg,2025,54,65,C,,,,,raw,
HkAPAIPyt0g,"Kiše padaju, polja rađaju, djeca sanjaju... Nije nas ostavio Bog. #hrvatska #sesvete #croatia",2025-04-24,PT16S,12548,136,7,False,829,https://i.ytimg.com/vi/HkAPAIPyt0g/maxresdefault.jpg,2025,16,63.06,C,,,,,raw,
ug1zQKOQAgo,Bog i Hrvati! #fyp #hrvatska #zagreb #croatia #hipodrom #hercegbosna #cro,2025-04-12,PT16S,3369,70,6,False,339,https://i.ytimg.com/vi/ug1zQKOQAgo/maxresdefault.jpg,2025,16,61.9,C,,,,,raw,
NWD7Yuy7F4Q,Ne Varaj Me (Cover) 🎸🇭🇷 | Braća Kumerle,2025-03-30,PT1M19S,2442,181,24,False,1601,https://i.ytimg.com/vi/NWD7Yuy7F4Q/maxresdefault.jpg,2025,79,65,C,,,,,raw,
ongmp4ukpO8,Zagrebu vjerni Hrvatskoj odanj!#hrvatska #croatia #fyp #music #zagreb #hercegovina #shorts,2025-03-24,PT31S,8161,253,3,False,707,https://i.ytimg.com/vi/ongmp4ukpO8/maxresdefault.jpg,2025,31,57.04,C,,,,,raw,
OwEUWi9tAag,"Braća Kumerle - Ako ne znaš šta je bilo | HKD Napredak, Zagreb 19.3.2025. LIVE 🇭🇷",2025-03-24,PT4M40S,387,33,7,False,2024,https://i.ytimg.com/vi/OwEUWi9tAag/sddefault.jpg,2025,280,63.06,C,,,,,raw,
wNV81eACo74,"Braća Kumerle - Lijepa naša domovino (Hrvatsko kulturno društvo Napredak, Zagreb, 19.3.2025.)",2025-03-23,PT2M3S,965,44,0,False,897,https://i.ytimg.com/vi/wNV81eACo74/sddefault.jpg,2025,123,45.0,C,,,,,raw,
p0rajJ_DghQ,"Braća Kumerle - Frane Tente | Pjesma o domoljubu | HKD Napredak, Zagreb 19.3.2025. LIVE 🇭🇷",2025-03-22,PT3M56S,294,26,5,False,2355,https://i.ytimg.com/vi/p0rajJ_DghQ/sddefault.jpg,2025,236,60.56,C,,,,,raw,
pwUEL73aQ4U,"Braća Kumerle - Čast i čisti obraz Hrvatsko kulturno društvo Napredak, Zagreb, 19.3.2025.",2025-03-21,PT2M37S,1076,48,5,False,1025,https://i.ytimg.com/vi/pwUEL73aQ4U/sddefault.jpg,2025,157,60.56,C,,,,,raw,
QliZYvmIiLo,Osjeti atmosferu – iza kulisa Braće Kumerle #hercegovina #shorts,2025-03-20,PT14S,1802,30,2,False,671,https://i.ytimg.com/vi/QliZYvmIiLo/maxresdefault.jpg,2025,14,54.54,C,,,,,raw,
QbMvUP57U0A,Hrvatski križari ✝️ #hrvatska #shorts  #hercegovina #hercegbosna,2025-03-16,PT36S,4771,158,3,False,405,https://i.ytimg.com/vi/QbMvUP57U0A/maxresdefault.jpg,2025,36,57.04,C,,,,,raw,
o9clAuSdrTM,STOŽERA! Zov planine pod hrvatskom zastavom 🇭🇷 #shorts,2025-01-28,PT24S,2220,90,3,False,712,https://i.ytimg.com/vi/o9clAuSdrTM/maxresdefault.jpg,2025,24,57.04,C,,,,,raw,
OxFpTKzKjLA,🔥 La Amour Toujours Remix – Gigi D’Agostino by Braća Kumerle 🇭🇷 #shorts,2025-01-16,PT44S,1153,50,4,False,705,https://i.ytimg.com/vi/OxFpTKzKjLA/sddefault.jpg,2025,44,58.98,C,,,,,raw,
z-d9kpyPg2I,HVO nas vodi! #shorts #hrvatska,2024-12-27,PT1M,2596,113,16,False,622,https://i.ytimg.com/vi/z-d9kpyPg2I/maxresdefault.jpg,2024,60,65,C,,,,,raw,
AlnROEkOiyU,Postrojba je meni sve — Ludvig Pavlović (Čapljina) 🇭🇷 #shorts,2024-12-16,PT24S,2048,105,10,False,792,https://i.ytimg.com/vi/AlnROEkOiyU/maxresdefault.jpg,2024,24,65,C,,,,,raw,
LieYqy3N2mg,Thompson x Braća Kumerle - Čavoglave LIVE Hipodrom 🔥🇭🇷,2024-12-13,PT42S,55022,1349,45,False,907,https://i.ytimg.com/vi/LieYqy3N2mg/sddefault.jpg,2024,42,65,C,,,,,raw,
Sdf4FHGYqy0,Čavoglave solo – Thompson live #braćakumerle #shorts 🇭🇷,2024-12-08,PT41S,1247,56,0,False,672,https://i.ytimg.com/vi/Sdf4FHGYqy0/maxresdefault.jpg,2024,41,45.0,C,,,,,raw,
